#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
234.592234,500,7265.758922
218.846731,500,7275.426844
220.606287,500,7284.948081
221.246046,500,7293.626789
216.956441,480,7302.339051
226.837334,500,7311.327672
228.900116,500,7319.922999
224.032864,500,7328.51892
225.792603,500,7337.319094
219.71358,500,7346.051803
132.448819,266,7350.664878
229.763324,500,7359.520034
223.275831,500,7368.1537
225.412331,500,7376.904023
228.238649,500,7385.912897
228.209223,500,7394.70653
228.708688,500,7403.299597
227.044355,500,7411.843561
227.431039,500,7421.058593
227.120375,500,7429.91151
223.702646,500,7439.158888
233.880602,500,7448.028985
224.995568,500,7456.762345
228.721994,500,7465.475132
223.926588,500,7474.225487
219.22685,500,7482.413702
227.967925,500,7490.550019
229.842772,500,7498.604754
230.930536,500,7507.249484
222.283164,500,7517.189083
227.119927,500,7526.425985
225.541488,500,7535.020768
221.740177,500,7544.13145
228.342244,500,7552.152818
228.672279,500,7560.443443
232.519007,500,7569.248558
229.780463,500,7577.803885
222.284382,500,7586.334826
229.681331,500,7594.870095
226.394649,500,7603.403555
229.61544,500,7611.428189
226.341137,500,7619.681051
224.64196,500,7627.836702
225.77168,500,7635.888696
228.163284,500,7643.996627
222.313258,500,7652.11544
223.955279,500,7660.195777
222.101004,500,7668.212617
225.371102,500,7676.274942
227.5064,500,7684.498209
233.456586,500,7692.384867
228.100434,500,7700.628447
225.114866,500,7709.218291
225.795842,500,7718.391136
227.472814,500,7727.293832
228.973878,500,7736.012315
230.882818,500,7744.362399
226.864454,500,7753.592793
225.635447,500,7762.607022
219.903843,500,7771.642282
224.992794,500,7780.516374
229.047062,500,7790.131623
228.592276,500,7799.441864
230.217833,500,7808.932409
226.58392,500,7818.086644
224.147553,500,7827.355681
227.309699,500,7837.424849
230.162588,500,7846.869335
228.211734,500,7855.486812
219.915817,500,7864.399892
232.11252,500,7873.321862
159.759148,372,7879.890712
222.923423,500,7888.969037
227.856172,500,7898.036866
228.77231,500,7906.707711
226.333747,500,7915.195806
225.954644,500,7924.182056
228.255943,500,7933.152561
227.773248,500,7942.424884
224.178165,500,7951.360558
225.252684,500,7960.706961
222.961355,500,7970.317986
232.000062,500,7979.214741
224.983047,500,7988.286183
224.541156,500,7997.443352
222.871246,500,8006.179463
221.574232,500,8015.092253
229.416307,500,8023.575018
233.429725,500,8032.034771
221.896772,500,8040.949797
224.75408,500,8049.702335
225.04304,500,8058.381887
229.014723,500,8067.385943
226.464088,500,8075.768903
226.743458,500,8084.194809
228.211772,500,8092.415397
222.013742,500,8100.892838
225.611168,500,8110.240885
226.788992,500,8118.986344
232.495609,500,8127.629198
227.28073,500,8136.008598
224.899481,500,8144.530849
228.359944,500,8152.711622
229.552539,500,8161.461009
229.430809,500,8169.726726
225.961919,500,8177.727186
232.72133,500,8185.726977
223.44873,500,8193.73284
229.119092,482,8201.119726
224.700862,500,8208.890659
231.490654,500,8216.668151
227.26391,500,8224.508714
226.690621,500,8232.349376
224.718108,500,8240.084039
219.815996,500,8247.932837
217.959155,500,8255.599873
234.086666,500,8263.351928
230.334702,500,8271.14866
226.31864,500,8278.868379
233.400404,500,8286.752249
229.966117,500,8294.577458
234.00353,500,8302.368827
229.907626,500,8310.207995
222.158602,500,8318.026959
223.94044,500,8325.83947
